User;Activity;realtime;ElapsedRealTime;ElapsedRealTimeFromStart;DateTime;Sample Number;ACC X (g);ACC Y (g);ACC Z (g);GYRO X (dps);GYRO Y (dps);GYRO Z (dps);MAGN X (mGs);MAGN Y (mGs);MAGN Z (mGs);ROLL (°);PITCH (°);YAW (°);PRESSURE (Pa);ADHERENCE (on/off);BLUE BAD (?);BLUE GOOD (?);Y (?);X (?);HUMIDITY (%);TEMP (°C);UV A (W/m^2);UV B (W/m^2);UserRealmObject Feedback Tags
2;1;5951;6520;67;;64303866;0.093;-1.233;0.106;1.2;0;-15.7;-1384;243.5;-265.5;0.2;-7.6;247.4;101947;0;1;1;21;21;24.26;41.05;0.0635;0.003408;
2;1;5952;6521;67;;64303867;0.115;-1.281;0.098;3.9;1.2;-20.8;-1400.5;242;-262.5;0.2;-8;247.5;101947;0;1;1;21;21;24.26;41.05;0.0635;0.003408;
2;1;5953;6522;67;;64303867;0.107;-1.351;0.085;5;2.7;-24.7;-1396;242;-259.5;0.2;-8.3;247.6;101947;0;1;1;21;21;24.26;41.05;0.0635;0.003408;
2;1;5954;6523;67;;64303867;0.118;-1.333;0.077;5.9;4.3;-26.2;-1400.5;248;-264;0.1;-8.8;247.7;101947;0;1;1;21;21;24.26;41.05;0.0635;0.003408;
2;1;5955;6524;67;;64303868;0.124;-1.416;0.068;6.8;6;-26.5;-1403.5;254;-267;0;-9.3;247.8;101947;0;1;1;21;21;24.26;41.05;0.0635;0.003408;
2;1;5956;6525;68;;64304190;0.113;-1.356;0.056;7.9;7;-26.9;-1412.5;248;-262.5;-0.1;-9.8;248;101948;0;1;1;19;19;24.26;41.07;0.127;0.000852;
2;1;5957;6526;68;;64304191;0.099;-1.251;0.041;8.9;8.7;-25.3;-1411;251;-262.5;-0.3;-10.4;248.2;101948;0;1;1;19;19;24.26;41.07;0.127;0.000852;
2;1;5958;6527;68;;64304191;0.087;-1.15;0.027;9.8;9.9;-22.8;-1414;264.5;-264;-0.4;-10.8;248.4;101948;0;1;1;19;19;24.26;41.07;0.127;0.000852;
2;1;5959;6528;68;;64304192;0.075;-1.076;0.018;9.5;10.9;-20;-1414;264.5;-270;-0.6;-11.3;248.6;101948;0;1;1;19;19;24.26;41.07;0.127;0.000852;
2;1;5960;6529;68;;64304193;0.067;-1.004;0.009;7.3;11.4;-15.8;-1414;269;-268.5;-0.8;-11.7;248.9;101948;0;1;1;19;19;24.26;41.07;0.127;0.000852;
2;1;5961;6530;68;;64304194;0.067;-0.997;0.01;5.2;11.2;-15.1;-1414;267.5;-267;-1;-12;249.1;101950;0;1;1;19;19;24.26;41.07;0.127;0.001704;
2;1;5962;6531;68;;64304194;0.074;-0.966;0.004;-0.1;9.6;-14.6;-1421.5;263;-268.5;-1.1;-12.4;249.4;101950;0;1;1;19;19;24.26;41.07;0.127;0.001704;
2;1;5963;6532;68;;64304195;0.074;-0.955;0.003;-2.9;9.5;-13.5;-1412.5;269;-268.5;-1.1;-12.6;249.6;101950;0;1;1;19;19;24.26;41.07;0.127;0.001704;
2;1;5964;6533;68;;64304195;0.074;-0.943;0.001;-2.6;10.6;-10.7;-1418.5;270.5;-270;-1.2;-12.8;249.9;101950;0;1;1;19;19;24.26;41.07;0.127;0.001704;
